tBJD,HJD,fits
1683.3994022490074,2458683.399402249,2019-07-18T21:35:08.354
1683.5341269788914,2458683.534126979,2019-07-19T00:49:08.571
1683.6688516736172,2458683.6688516736,2019-07-19T04:03:08.785
1683.8049652557077,2458683.804965256,2019-07-19T07:19:08.998
1683.939689903053,2458683.939689903,2019-07-19T10:33:09.208
1684.0744145342164,2458684.074414534,2019-07-19T13:47:09.416
1684.20913915269,2458684.209139153,2019-07-19T17:01:09.623
1684.3452526741294,2458684.345252674,2019-07-19T20:17:09.831
1684.4785883604172,2458684.4785883604,2019-07-19T23:29:10.034
1684.6133129530467,2458684.613312953,2019-07-20T02:43:10.239
1684.7480375399718,2458684.74803754,2019-07-20T05:57:10.443
1684.8813732087983,2458684.881373209,2019-07-20T09:09:10.645
1685.0174866998527,2458685.0174867,2019-07-20T12:25:10.851
1685.154989100392,2458685.1549891005,2019-07-20T15:43:11.058
1685.2897136714846,2458685.2897136714,2019-07-20T18:57:11.261
1685.421660413947,2458685.421660414,2019-07-20T22:07:11.460
1685.5563849800342,2458685.55638498,2019-07-21T01:21:11.662
1685.6924984571192,2458685.692498457,2019-07-21T04:37:11.867
1685.8286119323411,2458685.828611932,2019-07-21T07:53:12.071
1685.9633364928407,2458685.963336493,2019-07-21T11:07:12.273
1686.0966721389661,2458686.096672139,2019-07-21T14:19:12.473
1686.2313966965553,2458686.2313966965,2019-07-21T17:33:12.675
1686.3675101659574,2458686.367510166,2019-07-21T20:49:12.878
1686.5008458082402,2458686.500845808,2019-07-22T00:01:13.078
1686.6369592754304,2458686.636959275,2019-07-22T03:17:13.281
1686.7716838287115,2458686.771683829,2019-07-22T06:31:13.483
1686.905019468202,2458686.905019468,2019-07-22T09:43:13.682
1687.0411329327144,2458687.0411329325,2019-07-22T12:59:13.885
1687.1758574835508,2458687.1758574834,2019-07-22T16:13:14.087
1687.3091931207132,2458687.309193121,2019-07-22T19:25:14.286
1687.4453065831303,2458687.4453065833,2019-07-22T22:41:14.489
1687.580031131988,2458687.580031132,2019-07-23T01:55:14.690
1687.7147556803811,2458687.7147556804,2019-07-23T05:09:14.891
1687.8494802283078,2458687.8494802285,2019-07-23T08:23:15.092
1687.8592026183305,2458687.8592026182,2019-07-23T08:37:15.106
1687.8647582697727,2458687.86475827,2019-07-23T08:45:15.115
1687.875869572656,2458687.8758695726,2019-07-23T09:01:15.131
1687.8967032655623,2458687.8967032656,2019-07-23T09:31:15.162
1687.9869826014901,2458687.9869826017,2019-07-23T11:41:15.297
1688.1189293228804,2458688.118929323,2019-07-23T14:51:15.493
1688.2536538696436,2458688.2536538695,2019-07-23T18:05:15.694
1688.3911562417784,2458688.3911562418,2019-07-23T21:23:15.899
1688.5244918752146,2458688.5244918754,2019-07-24T00:35:16.098
1688.6578275084184,2458688.6578275086,2019-07-24T03:47:16.297
1688.7939409673431,2458688.7939409674,2019-07-24T07:03:16.500
1688.9286655132914,2458688.928665513,2019-07-24T10:17:16.700
1689.0647789720997,2458689.064778972,2019-07-24T13:33:16.903
1689.1981146053035,2458689.198114605,2019-07-24T16:45:17.102
1689.3314502386247,2458689.331450239,2019-07-24T19:57:17.301
1689.3356169772053,2458689.3356169774,2019-07-24T20:03:17.307
1689.468952610875,2458689.468952611,2019-07-24T23:15:17.506
1689.6050660704987,2458689.6050660703,2019-07-25T02:31:17.708
1689.7384017047507,2458689.738401705,2019-07-25T05:43:17.907
1689.8745151653056,2458689.874515165,2019-07-25T08:59:18.110
1690.0078508006059,2458690.0078508006,2019-07-25T12:11:18.309
1690.143964262441,2458690.143964262,2019-07-25T15:27:18.512
1690.277299899254,2458690.277299899,2019-07-25T18:39:18.711
1690.4120244497426,2458690.4120244496,2019-07-25T21:53:18.912
1690.41480227558,2458690.4148022756,2019-07-25T21:57:18.917
1690.5467490013953,2458690.5467490014,2019-07-26T01:07:19.114
1690.684251379933,2458690.68425138,2019-07-26T04:25:19.319
1690.8189759339148,2458690.818975934,2019-07-26T07:39:19.521
1690.950922663455,2458690.9509226633,2019-07-26T10:49:19.718
1691.088425046416,2458691.0884250463,2019-07-26T14:07:19.924
1691.2217606921945,2458691.221760692,2019-07-26T17:19:20.124
1691.3564852528111,2458691.3564852527,2019-07-26T20:33:20.326
1691.4912098155237,2458691.4912098157,2019-07-26T23:47:20.528
1691.6273232935412,2458691.6273232936,2019-07-27T03:03:20.733
1691.7606589480501,2458691.760658948,2019-07-27T06:15:20.933
1691.7828815574253,2458691.7828815575,2019-07-27T06:47:20.967
1691.8939946052365,2458691.893994605,2019-07-27T09:27:21.134
1691.8995502577259,2458691.8995502577,2019-07-27T09:35:21.142
1691.9203839543575,2458691.9203839544,2019-07-27T10:05:21.174
1692.0314970047298,2458692.031497005,2019-07-27T12:45:21.341
1692.1634437548755,2458692.163443755,2019-07-27T15:55:21.540
1692.167610494505,2458692.1676104944,2019-07-27T16:01:21.547
1692.2995572481432,2458692.299557248,2019-07-27T19:11:21.746
1692.3023350745639,2458692.3023350746,2019-07-27T19:15:21.750
1692.4356707452534,2458692.435670745,2019-07-27T22:27:21.952
1692.4398374849989,2458692.439837485,2019-07-27T22:33:21.959
1692.5690064200185,2458692.56900642,2019-07-28T01:39:22.155
1692.5745620733237,2458692.574562073,2019-07-28T01:47:22.163
1692.5898401196778,2458692.5898401197,2019-07-28T02:09:22.186
1692.5953957728652,2458692.5953957727,2019-07-28T02:17:22.195
1692.7051199259759,2458692.705119926,2019-07-28T04:55:22.362
1692.839844523614,2458692.8398445235,2019-07-28T08:09:22.567
1692.8454001771515,2458692.845400177,2019-07-28T08:17:22.575
1692.9745691264898,2458692.9745691265,2019-07-28T11:23:22.773
1693.1092937351868,2458693.109293735,2019-07-28T14:37:22.979
1693.2440183502872,2458693.2440183503,2019-07-28T17:51:23.185
1693.3787429721388,2458693.378742972,2019-07-28T21:05:23.393
1693.5134676014409,2458693.5134676015,2019-07-29T00:19:23.601
1693.6495811528016,2458693.649581153,2019-07-29T03:35:23.812
1693.7843057992168,2458693.7843057993,2019-07-29T06:49:24.021
1693.9190304554113,2458693.9190304554,2019-07-29T10:03:24.231
1694.0551440362246,2458694.055144036,2019-07-29T13:19:24.445
1694.1884798002802,2458694.1884798002,2019-07-29T16:31:24.655
1694.3232044911665,2458694.3232044913,2019-07-29T19:45:24.868
1694.457929196023,2458694.457929196,2019-07-29T22:59:25.083
1694.5940428309689,2458694.594042831,2019-07-30T02:15:25.301
1694.728767568189,2458694.7287675682,2019-07-30T05:29:25.518
1694.8621034089638,2458694.862103409,2019-07-30T08:41:25.735
1694.8648812392235,2458694.8648812394,2019-07-30T08:45:25.739
1694.9982171007202,2458694.9982171007,2019-07-30T11:57:25.958
1695.1343308159926,2458695.134330816,2019-07-30T15:13:26.183
1695.2676667254532,2458695.2676667254,2019-07-30T18:25:26.405
1695.401002662619,2458695.4010026627,2019-07-30T21:37:26.630
1695.5371164631083,2458695.5371164633,2019-07-31T00:53:26.862
1695.671841381587,2458695.6718413816,2019-07-31T04:07:27.095
1695.8065663362713,2458695.806566336,2019-07-31T07:21:27.331
1695.9412913279753,2458695.941291328,2019-07-31T10:35:27.571
1696.076016353556,2458696.0760163534,2019-07-31T13:49:27.813
1696.2107414021866,2458696.210741402,2019-07-31T17:03:28.057
1696.3468553672878,2458696.346855367,2019-07-31T20:19:28.304
1696.3510221208871,2458696.351022121,2019-07-31T20:25:28.311
1697.4246517936795,2458697.4246517937,2019-08-01T22:11:29.915
1697.5593759137832,2458697.559375914,2019-08-02T01:25:30.079
1697.6954889037893,2458697.6954889037,2019-08-02T04:41:30.241
1697.8288240487495,2458697.828824049,2019-08-02T07:53:30.398
1697.9635480786305,2458697.9635480787,2019-08-02T11:07:30.554
1697.9691037083035,2458697.9691037084,2019-08-02T11:15:30.560
1698.1010499046643,2458698.1010499047,2019-08-02T14:25:30.712
1698.2357739012507,2458698.2357739015,2019-08-02T17:39:30.865
1698.3691089788067,2458698.3691089787,2019-08-02T20:51:31.016
1698.505221860081,2458698.50522186,2019-08-03T00:07:31.169
1698.6385569191275,2458698.638556919,2019-08-03T03:19:31.318
1698.7732808776468,2458698.7732808776,2019-08-03T06:33:31.468
1698.7774475979513,2458698.777447598,2019-08-03T06:39:31.472
1698.9093937365697,2458698.9093937366,2019-08-03T09:49:31.619
1699.0427287765247,2458699.0427287766,2019-08-03T13:01:31.766
1699.1774527180473,2458699.177452718,2019-08-03T16:15:31.915
1699.1830083444593,2458699.1830083444,2019-08-03T16:23:31.921
1699.3135655618362,2458699.313565562,2019-08-03T19:31:32.065
1699.4469005884034,2458699.4469005885,2019-08-03T22:43:32.211
1699.583013424277,2458699.583013424,2019-08-04T01:59:32.360
1699.7191262566569,2458699.7191262566,2019-08-04T05:15:32.509
1699.8524612729798,2458699.852461273,2019-08-04T08:27:32.654
1699.9885740991913,2458699.9885740993,2019-08-04T11:43:32.802
1700.1232980161494,2458700.1232980164,2019-08-04T14:57:32.949
1700.259410836773,2458700.2594108367,2019-08-04T18:13:33.096
1700.3927458422677,2458700.392745842,2019-08-04T21:25:33.241
1700.5274697516606,2458700.527469752,2019-08-05T00:39:33.387
1700.6608047525006,2458700.6608047527,2019-08-05T03:51:33.531
1700.796917563694,2458700.796917564,2019-08-05T07:07:33.678
1700.931641466334,2458700.9316414664,2019-08-05T10:21:33.823
1701.0663653669963,2458701.066365367,2019-08-05T13:35:33.968
1701.201089265678,2458701.2010892658,2019-08-05T16:49:34.113
1701.3358131622658,2458701.3358131624,2019-08-05T20:03:34.257
1701.3399798807063,2458701.3399798805,2019-08-05T20:09:34.262
1701.4705370571064,2458701.470537057,2019-08-05T23:17:34.402
1701.4747037754314,2458701.4747037753,2019-08-05T23:23:34.406
1701.605260950084,2458701.60526095,2019-08-06T02:31:34.546
1701.6094276682925,2458701.609427668,2019-08-06T02:37:34.551
1701.6149832927267,2458701.6149832928,2019-08-06T02:45:34.556
1701.62053891716,2458701.6205389174,2019-08-06T02:53:34.562
1701.6260945415934,2458701.6260945415,2019-08-06T03:01:34.568
1701.634427978127,2458701.634427978,2019-08-06T03:13:34.577
1701.638594696453,2458701.6385946963,2019-08-06T03:19:34.582
1701.7427626534168,2458701.7427626536,2019-08-06T05:49:34.693
1701.8760976366775,2458701.8760976368,2019-08-06T09:01:34.836
1702.0108215244177,2458702.0108215245,2019-08-06T12:15:34.980
1702.1455454105271,2458702.1455454105,2019-08-06T15:29:35.123
1702.2816582009991,2458702.281658201,2019-08-06T18:45:35.269
1702.4136042719829,2458702.413604272,2019-08-06T21:55:35.409
1702.4191598959515,2458702.4191598957,2019-08-06T22:03:35.415
1702.5511059654195,2458702.5511059654,2019-08-07T01:13:35.555
1702.6844409396006,2458702.6844409397,2019-08-07T04:25:35.697
1702.8205537242525,2458702.820553724,2019-08-07T07:41:35.842
1702.9538886957562,2458702.9538886957,2019-08-07T10:53:35.983
1702.9580554134986,2458702.9580554133,2019-08-07T10:59:35.988
1703.0886125718553,2458703.088612572,2019-08-07T14:07:36.126
1703.2247253527812,2458703.2247253526,2019-08-07T17:23:36.270
1703.3594492267844,2458703.359449227,2019-08-07T20:37:36.413
1703.4941730996243,2458703.4941730998,2019-08-07T23:51:36.556
1703.6288969715324,2458703.6288969717,2019-08-08T03:05:36.698
1703.7636208426247,2458703.7636208427,2019-08-08T06:19:36.841
1703.8997336186626,2458703.899733619,2019-08-08T09:35:36.985
1704.034457488241,2458704.0344574885,2019-08-08T12:49:37.127
1704.1664035454878,2458704.1664035455,2019-08-08T15:59:37.266
1704.1705702631157,2458704.170570263,2019-08-08T16:05:37.271
1704.302516319779,2458704.30251632,2019-08-08T19:15:37.410
1704.4400179995969,2458704.4400179996,2019-08-08T22:33:37.555
1704.573352961555,2458704.5733529613,2019-08-09T01:45:37.696
1704.7094657350312,2458704.709465735,2019-08-09T05:01:37.840
1704.8428006968734,2458704.842800697,2019-08-09T08:13:37.980
1704.9789134704665,2458704.9789134706,2019-08-09T11:29:38.124
1705.113637338417,2458705.1136373384,2019-08-09T14:43:38.266
1705.2483612068336,2458705.2483612066,2019-08-09T17:57:38.408
1705.3844739817064,2458705.384473982,2019-08-09T21:13:38.552
1705.5178089456444,2458705.517808946,2019-08-10T00:25:38.693
1705.6525328163893,2458705.6525328164,2019-08-10T03:39:38.835
1705.787256688298,2458705.7872566883,2019-08-10T06:53:38.978
1705.7928123119164,2458705.792812312,2019-08-10T07:01:38.984
1705.9205916557275,2458705.9205916557,2019-08-10T10:05:39.119
1706.0553155306634,2458706.055315531,2019-08-10T13:19:39.262
1706.0580933425313,2458706.0580933425,2019-08-10T13:23:39.265
1706.1928172193288,2458706.1928172195,2019-08-10T16:37:39.408
1706.3289300042152,2458706.328930004,2019-08-10T19:53:39.552
1706.4608760736867,2458706.4608760737,2019-08-10T23:03:39.693
1706.5983777699184,2458706.59837777,2019-08-11T02:21:39.839
1706.7289349389866,2458706.728934939,2019-08-11T05:29:39.979
1706.7331016571945,2458706.733101657,2019-08-11T05:35:39.983
1706.8650477358638,2458706.865047736,2019-08-11T08:45:40.124
1706.9997716303574,2458706.9997716304,2019-08-11T11:59:40.269
1707.1358844354995,2458707.1358844354,2019-08-11T15:15:40.415
1707.2706083393073,2458707.2706083395,2019-08-11T18:29:40.561
1707.4053322483535,2458707.405332248,2019-08-11T21:43:40.706
1707.5400561633364,2458707.5400561634,2019-08-12T00:57:40.853
1707.6761689911805,2458707.6761689913,2019-08-12T04:13:41.001
1707.8095040134422,2458707.8095040135,2019-08-12T07:25:41.147
1707.944227950079,2458707.94422795,2019-08-12T10:39:41.295
1708.0803408023703,2458708.080340802,2019-08-12T13:55:41.445
1708.2150647577491,2458708.215064758,2019-08-12T17:09:41.595
1708.349788723839,2458708.349788724,2019-08-12T20:23:41.746
1708.4831237949966,2458708.483123795,2019-08-12T23:35:41.896
1708.6192366936211,2458708.6192366937,2019-08-13T02:51:42.050
1708.7539606999908,2458708.7539607,2019-08-13T06:05:42.204
1708.8872958152706,2458708.887295815,2019-08-13T09:17:42.358
1708.8900736303972,2458708.8900736305,2019-08-13T09:21:42.362
1709.0234087640702,2458709.023408764,2019-08-13T12:33:42.517
1709.160910641796,2458709.160910642,2019-08-13T15:51:42.679
1709.292856910688,2458709.2928569107,2019-08-13T19:01:42.837
1709.427581021133,2458709.427581021,2019-08-13T22:15:43.000
1709.5623051601,2458709.5623051603,2019-08-14T01:29:43.166
1709.6984182399842,2458709.69841824,2019-08-14T04:45:43.336
1709.8345313550253,2458709.834531355,2019-08-14T08:01:43.509
1709.9678666875348,2458709.9678666876,2019-08-14T11:13:43.682
1710.1039798756856,2458710.103979876,2019-08-14T14:29:43.861
1710.1095355167668,2458710.1095355167,2019-08-14T14:37:43.869
